fik	Lower Level   Conf., Term, J			Upper Level   Conf., Term, J		
2.53E-02	1s4d	3D	2	1s8f	3F	3
3.67E-02	1s4d	3D	1	1s8f	3F	2
2.84E-02	1s4d	1D	2	1s8f	1F	3
8.31E-03	1s4d	1D	2	1s8f	3F	3
2.60E-04	1s4f	3F	3	1s8g	1G	4
						
1.06E-03	1s4f	3F	3	1s8g	3G	3
2.53E-02	1s4f	3F	3	1s8g	3G	4
6.20E-04	1s4f	3F	4	1s8g	1G	4
2.05E-05	1s4f	3F	4	1s8g	3G	3
2.53E-02	1s4f	3F	4	1s8g	3G	5
						
6.72E-04	1s4f	3F	4	1s8g	3G	4
2.66E-02	1s4f	3F	2	1s8g	3G	3
2.55E-02	1s4f	1F	3	1s8g	1G	4
6.06E-04	1s4f	1F	3	1s8g	3G	3
4.52E-04	1s4f	1F	3	1s8g	3G	4
